query_id,document_id,query_text,phrase_pl,doc_text,document_pl
0,0,)what was the immediate impact of the success of the manhattan project?,)jaki był natychmiastowy wpływ sukcesu projektu manhattan?,The presence of communication amid scientific minds was equally important to the success of the Manhattan Project as scientific intellect was. The only cloud hanging over the impressive achievement of the atomic researchers and engineers is what their success truly meant; hundreds of thousands of innocent lives obliterated.,"Obecność komunikacji wśród naukowych umysłów była równie ważna dla sukcesu Projektu Manhattan, jak intelekt naukowy. Jedyną chmurą wiszącą nad imponującym osiągnięciem badaczy i inżynierów atomowych jest to, co ich sukces tak naprawdę oznaczał; setki tysięcy niewinnych istnień unicestwionych."
1,16,"_________ justice is designed to repair the harm to victim, the community and the offender caused by the offender criminal act. question 19 options:","_________ sprawiedliwość ma na celu naprawienie szkody wyrządzonej ofierze, społeczności i sprawcy, spowodowanej przez przestępczy czyn sprawcy. opcje pytania 19:","The approach is based on a theory of justice that considers crime and wrongdoing to be an offense against an individual or community, rather than the State. Restorative justice that fosters dialogue between victim and offender has shown the highest rates of victim satisfaction and offender accountability.","Podejście to opiera się na teorii sprawiedliwości, która uważa przestępstwo i wykroczenie za występek przeciwko jednostce lub społeczności, a nie przeciwko Państwu. Sprawiedliwość naprawcza, która wspiera dialog między ofiarą a sprawcą, wykazała najwyższe wskaźniki zadowolenia ofiar i odpowiedzialności sprawców."
2,49,what color is amber urine,jakiego koloru jest bursztynowy mocz,"Colorâurine can be a variety of colors, most often shades of yellow, from very pale or colorless to very dark or amber. Unusual or abnormal urine colors can be the result of a disease process, several medications (e.g., multivitamins can turn urine bright yellow), or the result of eating certain foods.","Kolor—mocz może mieć różne kolory, najczęściej odcienie żółtego, od bardzo jasnego lub bezbarwnego do bardzo ciemnego lub bursztynowego. Niezwykłe lub nieprawidłowe kolory moczu mogą być wynikiem procesu chorobowego, działania kilku leków (np. multiwitaminy mogą zmienić mocz na jaskrawożółty) lub wynikiem spożycia pewnych pokarmów."
3,60,is autoimmune hepatitis a bile acid synthesis disorder,czy autoimmunologiczne zapalenie wątroby jest zaburzeniem syntezy kwasów żółciowych,Inborn errors of bile acid synthesis can produce life-threatening cholestatic liver disease (which usually presents in infancy) and progressive neurological disease presenting later in childhood or in adult life.he neurological presentation often includes signs of upper motor neurone damage (spastic paraparesis). The most useful screening test for many of these disorders is analysis of urinary cholanoids (bile acids and bile alcohols); this is usually now achieved by electrospray ionisation tandem mass spectrometry.,Wrodzone błędy syntezy kwasów żółciowych mogą powodować zagrażającą życiu cholestatyczną chorobę wątroby (która zwykle ujawnia się w okresie niemowlęcym) oraz postępującą chorobę neurologiczną ujawniającą się później w dzieciństwie lub w życiu dorosłym. Prezentacja neurologiczna często obejmuje oznaki uszkodzenia górnego neuronu ruchowego (porażenie kurczowe kończyn dolnych). Najbardziej przydatnym testem przesiewowym w przypadku wielu z tych zaburzeń jest analiza cholanoidów w moczu (kwasy żółciowe i alkohole żółciowe); obecnie zwykle osiąga się to za pomocą spektrometrii mas ze sprzężeniem tandemowym z jonizacją przez elektrorozpylanie.
4,389,elegxo meaning,elegxo znaczenie,"The word convict here (elegcw /elegxo) means to bring to light or expose error often with the idea of reproving or rebuking. It brings about knowledge of believing or doing something wrong, but it does not mean that the person will respond properly to that knowledge. Our usage of the English word, convict, is similar.","Słowo przekonać tutaj (elegcw /elegxo) oznacza wydać na światło lub ujawnić błąd, często z ideą upominania lub karania. Wprowadza ono wiedzę o wierzeniu lub robieniu czegoś złego, ale nie oznacza, że dana osoba odpowie właściwie na tę wiedzę. Nasze użycie angielskiego słowa, convict (przekonać), jest podobne."
5,616,how much does an average person make for tutoring,ile przeciętna osoba zarabia na korepetycjach,"In-home tutors can earn anywhere from $10 to $80 an hour, depending on the type of lesson, the studentâs skill and age level and the tutorâs experience. Tutors often charge more for older students or those who require more advanced lessons.","Korepetytorzy dojeżdżający do domu mogą zarobić od 10 do 80 dolarów za godzinę, w zależności od rodzaju lekcji, poziomu umiejętności i wieku ucznia oraz doświadczenia korepetytora. Korepetytorzy często pobierają wyższe opłaty za starszych uczniów lub tych, którzy wymagają bardziej zaawansowanych lekcji."
6,723,can you use a calculator on the compass test,czy można używać kalkulatora na teście compass,"Calculators may be used on the COMPASS Pre-Algebra, Algebra, College Algebra, Geometry, and Trigonometry tests provided they meet the requirements listed below. Electronic writing pads or pen-input devicesâThe Sharp EL 9600 is permitted. Models with paper tapesâThe paper must be removed.","Kalkulatory mogą być używane na testach COMPASS z przed-algebry, algebry, algebry college'u, geometrii i trygonometrii, pod warunkiem że spełniają wymienione poniżej wymagania. Elektroniczne podkładki do pisania lub urządzenia z wprowadzaniem za pomocą pióraâSharp EL 9600 jest dozwolony. Modele z taśmą papierowąâpapier musi być usunięty."
7,944,what does physical medicine do,czym zajmuje się medycyna fizykalna,"Doctor Directory. A physiatrist practices in the field of physiatry - also called physical medicine and rehabilitation - which is a branch of medicine that specializes in diagnosis, treatment, and management of disease primarily using physical means, such as physical therapy and medications.","Spis Lekarzy. Fizjatra praktykuje w dziedzinie fizjatrii – nazywanej również medycyną fizykalną i rehabilitacyjną – która jest działem medycyny specjalizującym się w diagnozowaniu, leczeniu i zarządzaniu chorobą wykorzystując przede wszystkim środki fizykalne, takie jak fizjoterapia i leki."
8,1054,what does pending mean on listing,co oznacza pending w ofercie,"Active/Pending = Usually that means the seller would like to get more offers. Savvy agents want back-up offers in place. If you made an offer to purchase a property and the seller agreed to the price, but already has a buyer in contract, you would be the 1st position back-up buyer.","Aktywna/Oczekująca = Zazwyczaj oznacza to, że sprzedający chciałby otrzymać więcej ofert. Obrotni agenci chcą mieć oferty zapasowe. Jeśli złożyłeś ofertę kupna nieruchomości, a sprzedający zgodził się na cenę, ale ma już kupca w trakcie finalizacji umowy, byłbyś kupcem zapasowym w pierwszej kolejności."
9,1160,feeding rice cereal how many times per day,karmienie kaszką ryżową ile razy dziennie,"1. Begin with rice cereal on days 1,2 and 3, offering it twice daily at breakfast and dinnertime. Rice cereal can be mixed with water or milk(breast or formula) to make a thin oatmeal like consistency. The infant should be offered a rubberized spoon. During these first three days, offer 3-4 tablespoons at a time but be flexible. Some infants will be very hungry and want more- that's OK.","1. Zacznij od kaszki ryżowej w dniach 1,2 i 3, podając ją dwa razy dziennie podczas śniadania i kolacji. Kaszka ryżowa może być zmieszana z wodą lub mlekiem (piersią lub mieszanką), aby uzyskać rzadką konsystencję podobną do owsianki. Niemowlęciu należy podać gumową łyżeczkę. Podczas tych pierwszych trzech dni podawaj za jednym razem 3-4 łyżki stołowe, ale bądź elastyczny. Niektóre niemowlęta będą bardzo głodne i będą chciały więcej - to w porządku."
10,1172,most dependable affordable cars,najbardziej niezawodne niedrogie samochody,"If you can look past its bargain interior and anonymous exterior, the Suzuki SX4 is one of the most reliable and affordable all-wheel-drive cars.","Jeśli możesz przymknąć oko na jego tani wnętrze i anonimowy wygląd zewnętrzny, Suzuki SX4 jest jednym z najbardziej niezawodnych i niedrogich samochodów z napędem na wszystkie koła."
11,1389,lithophile definition,definicja litofila,"Lithophile elements [edit]. Lithophile elements are those that remain on or close to the surface because they combine readily with oxygen, forming compounds that do not sink into the core.anganese, iron and molybdenum do form strong bonds with oxygen but in the free state (as they existed on the primitive earth when free oxygen did not exist) can mix so easily with iron that they do not concentrate in the siliceous crust as do true lithophile elements.","Pierwiastki litofilne [edytuj]. Pierwiastki litofilne to takie, które pozostają na powierzchni lub w jej pobliżu, ponieważ łatwo łączą się z tlenem, tworząc związki, które nie opadają do jądra. Mangan, żelazo i molibden tworzą co prawda silne wiązania z tlenem, ale w stanie wolnym (w jakim występowały na pierwotnej Ziemi, gdy wolny tlen nie istniał) mogą tak łatwo mieszać się z żelazem, że nie koncentrują się w krzemianowej skorupie, jak czynią to prawdziwe pierwiastki litofilne."
12,1605,what is a flail chest,co to jest stłuczenie klatki piersiowej typu flail chest,"Flail Chest. Flail chest describes a situation in which a portion of the rib cage is separated from the rest of the chest wall, usually due to a severe blunt trauma, such as a serious fall or a car accident.lail chest is almost always linked to severe blunt trauma, such as a serious fall or car accident, in terms of cause. But it can develop as a result of less severe impacts.","Stłuczenie klatki piersiowej typu Flail Chest. Stłuczenie klatki piersiowej typu flail chest opisuje sytuację, w której część klatki żebrowej jest oddzielona od reszty ściany klatki piersiowej, zwykle z powodu ciężkiego urazu tępego, takiego jak poważny upadek lub wypadek samochodowy. Stłuczenie klatki piersiowej typu flail chest jest prawie zawsze związane z ciężkim urazem tępym, takim jak poważny upadek lub wypadek samochodowy, jeśli chodzi o przyczynę. Ale może rozwinąć się w wyniku mniej poważnych uderzeń."
